# somedoc
I-title	Upper
I-title	bounds
I-title	for
I-title	quantum
I-title	dynamics
I-title	governed
I-title	by
I-title	Jacobi
I-title	matrices
I-title	with
I-title	self
I-title	-
I-title	similar
I-title	spectra
I-affiliation	International
I-affiliation	Centre
I-affiliation	for
I-affiliation	the
I-affiliation	Study
I-affiliation	of
I-affiliation	Dynamical
I-affiliation	Systems
I-affiliation	,
I-address	Universita
I-address	di Milano
I-address	,
I-address	sede
I-address	di Como
I-address	,
I-address	via
I-address	Lucini
I-address	3
I-address	,
I-address	22100
I-address	Como
I-address	,
I-address	Italy
I-address	Instituto
I-address	Nazionale
I-address	di Fisica
I-address	della Materia
I-address	,
I-address	Unit
I-address	~a
I-address	di Milano
I-address	,
I-address	Via
I-address	Celoria
I-address	16
I-address	,
I-address	20133
I-address	Milano
I-address	,
I-address	Italy
I-abstract	Abstract
I-abstract	We
I-abstract	study
I-abstract	a
I-abstract	class
I-abstract	of
I-abstract	one
I-abstract	-
I-abstract	sided
I-abstract	Hamiltonian
I-abstract	operators
I-abstract	with
I-abstract	spectral
I-abstract	measures
I-abstract	given
I-abstract	by
I-abstract	invariant
I-abstract	and
I-abstract	ergodic
I-abstract	measures
I-abstract	of
I-abstract	dynamical
I-abstract	systems
I-abstract	of
I-abstract	the
I-abstract	interval
I-abstract	.
I-abstract	We
I-abstract	analyse
I-abstract	dimensional
I-abstract	properties
I-abstract	of
I-abstract	spectral
I-abstract	measures
I-abstract	,
I-abstract	and
I-abstract	prove
I-abstract	upper
I-abstract	bounds
I-abstract	for
I-abstract	the
I-abstract	asymptotic
I-abstract	spread
I-abstract	in
I-abstract	time
I-abstract	of
I-abstract	wavepackets
I-abstract	.
I-abstract	These
I-abstract	bounds
I-abstract	involve
I-abstract	the
I-abstract	Hausdorff
I-abstract	dimension
I-abstract	of
I-abstract	the
I-abstract	spectral
I-abstract	measure
I-abstract	,
I-abstract	multiplied
I-abstract	by
I-abstract	a
I-abstract	correction
I-abstract	calculated
I-abstract	from
I-abstract	the
I-abstract	dynamical
I-abstract	entropy
I-abstract	,
I-abstract	the
I-abstract	density
I-abstract	of
I-abstract	states
I-abstract	,
I-abstract	and
I-abstract	the
I-abstract	capacity
I-abstract	of
I-abstract	the
I-abstract	support
I-abstract	.
I-abstract	For
I-abstract	Julia
I-abstract	matrices
I-abstract	,
I-abstract	the
I-abstract	correction
I-abstract	disappears
I-abstract	and
I-abstract	the
I-abstract	growth
I-abstract	is
I-abstract	ruled
I-abstract	by
I-abstract	the
I-abstract	fractal
I-abstract	dimension
I-abstract	.

# somedoc
I-title	Hierarchical
I-title	Block
I-title	-
I-title	Based
I-title	Disparity
I-title	Estimation
I-title	Considering
I-title	Neighbourhood
I-title	Constraints
B-author	Lutz
I-author	Falkenhagen
I-affiliation	Institut
I-affiliation	f
I-affiliation	r
I-affiliation	Theoretische
I-affiliation	Nachrichtentechnik
I-affiliation	und
I-affiliation	Informationsverarbeitung
I-affiliation	Universit
I-affiliation	t
I-affiliation	Hannover
I-affiliation	,
I-address	Appelstr
I-address	.
I-address	9
I-address	A
I-address	,
I-address	30167
I-address	Hannover
I-address	,
I-address	Germany
I-email	Email
I-email	:
I-email	falkenhagen@tnt.uni-hannover.de
I-abstract	ABSTRACT
I-abstract	A
I-abstract	block
I-abstract	-
I-abstract	based
I-abstract	disparity
I-abstract	estimation
I-abstract	approach
I-abstract	is
I-abstract	pres
I-abstract	-
I-abstract	ented
I-abstract	that
I-abstract	increases
I-abstract	the
I-abstract	robustness
I-abstract	of
I-abstract	the
I-abstract	estimator
I-abstract	by
I-abstract	considering
I-abstract	neighbourhood
I-abstract	constraints
I-abstract	and
I-abstract	by
I-abstract	esti
I-abstract	-
I-abstract	mating
I-abstract	hierarchically
I-abstract	on
I-abstract	a
I-abstract	multi
I-abstract	-
I-abstract	resolutional
I-abstract	image
I-abstract	pyramid
I-abstract	of
I-abstract	a
I-abstract	stereoscopic
I-abstract	image
I-abstract	pair
I-abstract	.
I-abstract	This
I-abstract	approach
I-abstract	is
I-abstract	applied
I-abstract	to
I-abstract	3-D
I-abstract	reconstruction
I-abstract	of
I-abstract	moving
I-abstract	scenes
I-abstract	in
I-abstract	the
I-abstract	field
I-abstract	of
I-abstract	3-D
I-abstract	video
I-abstract	communications
I-abstract	and
I-abstract	to
I-abstract	land
I-abstract	-
I-abstract	scape
I-abstract	and
I-abstract	architectural
I-abstract	reconstruction
I-abstract	.
I-abstract	The
I-abstract	shape
I-abstract	of
I-abstract	the
I-abstract	reconstructed
I-abstract	objects
I-abstract	,
I-abstract	which
I-abstract	is
I-abstract	computed
I-abstract	from
I-abstract	the
I-abstract	estimated
I-abstract	disparities
I-abstract	,
I-abstract	is
I-abstract	significantly
I-abstract	improved
I-abstract	using
I-abstract	the
I-abstract	presented
I-abstract	approach
I-abstract	compared
I-abstract	to
I-abstract	conven
I-abstract	-
I-abstract	tional
I-abstract	block
I-abstract	-
I-abstract	matching
I-abstract	.

# somedoc
I-title	Finding
I-title	Downbeats
I-title	with
I-title	a
I-title	Relaxation
I-title	Oscillator
B-author	Douglas
I-author	Eck
I-email	e
I-email	-
I-email	mail
I-email	:
I-email	doug@idsia.ch
I-affiliation	Istituto
I-affiliation	Dalle
I-affiliation	Molle
I-affiliation	di Studi
I-affiliation	sull
I-affiliation	'
I-affiliation	Intelligenza
I-affiliation	Artiflciale
I-affiliation	(
I-affiliation	IDSIA
I-affiliation	)
I-address	Galleria
I-address	2
I-address	,
I-address	6928
I-address	Manno
I-address	-
I-address	Lugano
I-address	,
I-address	Switzerland
I-date	February
I-date	26
I-date	,
I-date	2002
I-abstract	Abstract
I-abstract	A
I-abstract	relaxation
I-abstract	oscillator
I-abstract	model
I-abstract	of
I-abstract	neural
I-abstract	spiking
I-abstract	dynamics
I-abstract	is
I-abstract	applied
I-abstract	to
I-abstract	the
I-abstract	task
I-abstract	of
I-abstract	flnding
I-abstract	downbeats
I-abstract	in
I-abstract	rhythmical
I-abstract	patterns
I-abstract	.
I-abstract	The
I-abstract	importance
I-abstract	of
I-abstract	downbeat
I-abstract	discovery
I-abstract	or
I-abstract	beat
I-abstract	induction
I-abstract	is
I-abstract	discussed
I-abstract	,
I-abstract	and
I-abstract	the
I-abstract	relaxation
I-abstract	oscillator
I-abstract	model
I-abstract	is
I-abstract	compared
I-abstract	to
I-abstract	other
I-abstract	oscillator
I-abstract	models
I-abstract	.
I-abstract	In
I-abstract	a
I-abstract	set
I-abstract	of
I-abstract	computer
I-abstract	simulations
I-abstract	the
I-abstract	model
I-abstract	is
I-abstract	tested
I-abstract	on
I-abstract	35
I-abstract	rhythmical
I-abstract	patterns
I-abstract	from
I-abstract	Povel
I-abstract	and
I-abstract	Essens
I-abstract	(1985)
I-abstract	.
I-abstract	The
I-abstract	model
I-abstract	performs
I-abstract	well
I-abstract	,
I-abstract	making
I-abstract	good
I-abstract	predictions
I-abstract	in
I-abstract	34
I-abstract	of
I-abstract	35
I-abstract	cases
I-abstract	.
I-abstract	In
I-abstract	an
I-abstract	analysis
I-abstract	we
I-abstract	identify
I-abstract	some
I-abstract	shortcomings
I-abstract	of
I-abstract	the
I-abstract	model
I-abstract	and
I-abstract	relate
I-abstract	model
I-abstract	behavior
I-abstract	to
I-abstract	dynamical
I-abstract	properties
I-abstract	of
I-abstract	relaxation
I-abstract	oscillators
I-abstract	.

# somedoc
I-title	Multi
I-title	-
I-title	Dimensional
I-title	Interleaving
I-title	for
I-title	Synchronous
I-title	Circuit
I-title	Design
I-title	Optimization
I-title	Nelson
I-title	Luiz
I-title	Passos
B-author	Edwin
I-author	Hsing
I-author	-
I-author	Mean
I-author	Sha
B-author	Liang
I-author	-
I-author	Fang
I-author	Chao
I-date	November
I-date	1994
I-abstract	Abstract
I-abstract	This
I-abstract	paper
I-abstract	presents
I-abstract	a
I-abstract	novel
I-abstract	optimization
I-abstract	technique
I-abstract	for
I-abstract	the
I-abstract	design
I-abstract	of
I-abstract	application
I-abstract	specific
I-abstract	integrated
I-abstract	circuits
I-abstract	dedicated
I-abstract	to
I-abstract	perform
I-abstract	iterative
I-abstract	or
I-abstract	recursive
I-abstract	time
I-abstract	-
I-abstract	critical
I-abstract	sections
I-abstract	of
I-abstract	multi
I-abstract	-
I-abstract	dimensional
I-abstract	problems
I-abstract	,
I-abstract	such
I-abstract	as
I-abstract	image
I-abstract	processing
I-abstract	applications
I-abstract	.
I-abstract	These
I-abstract	sections
I-abstract	are
I-abstract	modeled
I-abstract	as
I-abstract	cyclic
I-abstract	multidimensional
I-abstract	data
I-abstract	flow
I-abstract	graphs
I-abstract	(
I-abstract	MDFGs
I-abstract	)
I-abstract	.
I-abstract	This
I-abstract	new
I-abstract	optimization
I-abstract	technique
I-abstract	,
I-abstract	called
I-abstract	multi
I-abstract	-
I-abstract	dimensional
I-abstract	interleaving
I-abstract	consists
I-abstract	of
I-abstract	a
I-abstract	multi
I-abstract	-
I-abstract	dimensional
I-abstract	expansion
I-abstract	and
I-abstract	compression
I-abstract	of
I-abstract	the
I-abstract	iteration
I-abstract	space
I-abstract	,
I-abstract	followed
I-abstract	by
I-abstract	a
I-abstract	multi
I-abstract	-
I-abstract	dimensional
I-abstract	retiming
I-abstract	,
I-abstract	while
I-abstract	considering
I-abstract	memory
I-abstract	requirements
I-abstract	.
I-abstract	It
I-abstract	guarantees
I-abstract	that
I-abstract	all
I-abstract	functional
I-abstract	elements
I-abstract	of
I-abstract	a
I-abstract	circuitry
I-abstract	can
I-abstract	be
I-abstract	executed
I-abstract	simultaneously
I-abstract	,
I-abstract	and
I-abstract	no
I-abstract	additional
I-abstract	memory
I-abstract	queues
I-abstract	proportional
I-abstract	to
I-abstract	the
I-abstract	problem
I-abstract	size
I-abstract	are
I-abstract	required
I-abstract	.
I-abstract	The
I-abstract	algorithm
I-abstract	runs
I-abstract	optimally
I-abstract	in
I-abstract	O
I-abstract	(
I-abstract	jEj
I-abstract	)
